order_id,customer_id,sku_id,sku_name
T00000,C1009,SKU_001,尿布
T00000,C1009,SKU_003,啤酒
T00000,C1009,SKU_024,口香糖
T00001,C1439,SKU_009,礦泉水
T00001,C1439,SKU_025,衛生紙
T00001,C1439,SKU_029,SKU_NEW_001
T00002,C0557,SKU_001,尿布
T00002,C0557,SKU_007,可樂
T00002,C0557,SKU_028,茶包
T00003,C0646,SKU_001,尿布
T00003,C0646,SKU_002,起司
T00003,C0646,SKU_003,啤酒
T00003,C0646,SKU_004,紅酒
T00003,C0646,SKU_006,米
T00003,C0646,SKU_007,可樂
T00003,C0646,SKU_008,醬油
T00003,C0646,SKU_011,杯麵
T00003,C0646,SKU_013,果醬
T00003,C0646,SKU_020,葡萄
T00004,C1205,SKU_003,啤酒
T00004,C1205,SKU_009,礦泉水
T00004,C1205,SKU_013,果醬
T00005,C0760,SKU_012,麵包
T00006,C1104,SKU_007,可樂
T00006,C1104,SKU_024,口香糖
T00007,C0696,SKU_009,礦泉水
T00007,C0696,SKU_014,雪碧
T00008,C0318,SKU_009,礦泉水
T00008,C0318,SKU_024,口香糖
T00009,C1114,SKU_001,尿布
T00009,C1114,SKU_003,啤酒
T00009,C1114,SKU_006,米
T00009,C1114,SKU_008,醬油
T00009,C1114,SKU_012,麵包
T00009,C1114,SKU_013,果醬
T00009,C1114,SKU_023,洋芋片
T00009,C1114,SKU_025,衛生紙
T00010,C0194,SKU_004,紅酒
T00010,C0194,SKU_006,米
T00010,C0194,SKU_008,醬油
T00010,C0194,SKU_009,礦泉水
T00010,C0194,SKU_010,寶特瓶飲料
T00010,C0194,SKU_015,牛奶
T00010,C0194,SKU_019,橘子
T00010,C0194,SKU_023,洋芋片
T00010,C0194,SKU_025,衛生紙
T00011,C0298,SKU_007,可樂
T00011,C0298,SKU_017,蘋果
T00011,C0298,SKU_030,SKU_NEW_002
T00012,C0938,SKU_005,塑膠袋
T00012,C0938,SKU_007,可樂
T00012,C0938,SKU_010,寶特瓶飲料
T00012,C0938,SKU_019,橘子
T00012,C0938,SKU_021,餅乾
T00012,C0938,SKU_028,茶包
T00013,C1117,SKU_009,礦泉水
T00013,C1117,SKU_013,果醬
T00013,C1117,SKU_020,葡萄
T00013,C1117,SKU_025,衛生紙
T00013,C1117,SKU_028,茶包
T00014,C1333,SKU_010,寶特瓶飲料
T00014,C1333,SKU_014,雪碧
T00014,C1333,SKU_027,洗髮精
T00014,C1333,SKU_028,茶包
T00014,C1333,SKU_029,SKU_NEW_001
T00015,C0409,SKU_003,啤酒
T00015,C0409,SKU_007,可樂
T00016,C0159,SKU_024,口香糖
T00017,C1431,SKU_010,寶特瓶飲料
T00017,C1431,SKU_015,牛奶
T00018,C0230,SKU_004,紅酒
T00019,C0296,SKU_002,起司
T00019,C0296,SKU_003,啤酒
T00019,C0296,SKU_004,紅酒
T00019,C0296,SKU_014,雪碧
T00019,C0296,SKU_015,牛奶
T00019,C0296,SKU_022,巧克力
T00020,C0438,SKU_001,尿布
T00020,C0438,SKU_002,起司
T00020,C0438,SKU_004,紅酒
T00020,C0438,SKU_005,塑膠袋
T00020,C0438,SKU_006,米
T00020,C0438,SKU_007,可樂
T00020,C0438,SKU_008,醬油
T00020,C0438,SKU_009,礦泉水
T00020,C0438,SKU_022,巧克力
T00020,C0438,SKU_025,衛生紙
T00021,C0794,SKU_011,杯麵
T00021,C0794,SKU_022,巧克力
T00022,C1314,SKU_004,紅酒
T00022,C1314,SKU_007,可樂
T00022,C1314,SKU_008,醬油
T00022,C1314,SKU_009,礦泉水
T00022,C1314,SKU_016,豆漿
T00023,C1134,SKU_001,尿布
T00023,C1134,SKU_010,寶特瓶飲料
T00023,C1134,SKU_015,牛奶
T00023,C1134,SKU_024,口香糖
T00024,C1069,SKU_024,口香糖
T00025,C0262,SKU_001,尿布
T00025,C0262,SKU_003,啤酒
T00025,C0262,SKU_009,礦泉水
T00025,C0262,SKU_010,寶特瓶飲料
T00025,C0262,SKU_016,豆漿
T00025,C0262,SKU_030,SKU_NEW_002
T00026,C0538,SKU_002,起司
T00026,C0538,SKU_004,紅酒
T00026,C0538,SKU_009,礦泉水
T00026,C0538,SKU_023,洋芋片
T00027,C0721,SKU_009,礦泉水
T00027,C0721,SKU_021,餅乾
T00027,C0721,SKU_024,口香糖
T00028,C0220,SKU_002,起司
T00028,C0220,SKU_004,紅酒
T00028,C0220,SKU_027,洗髮精
T00029,C0409,SKU_001,尿布
T00029,C0409,SKU_003,啤酒
T00029,C0409,SKU_008,醬油
T00029,C0409,SKU_017,蘋果
T00030,C0466,SKU_001,尿布
T00030,C0466,SKU_003,啤酒
T00030,C0466,SKU_005,塑膠袋
T00030,C0466,SKU_007,可樂
T00030,C0466,SKU_008,醬油
T00030,C0466,SKU_010,寶特瓶飲料
T00031,C0186,SKU_006,米
T00031,C0186,SKU_008,醬油
T00031,C0186,SKU_011,杯麵
T00031,C0186,SKU_013,果醬
T00031,C0186,SKU_018,香蕉
T00032,C0828,SKU_005,塑膠袋
T00032,C0828,SKU_009,礦泉水
T00032,C0828,SKU_013,果醬
T00032,C0828,SKU_030,SKU_NEW_002
T00033,C1065,SKU_007,可樂
T00033,C1065,SKU_008,醬油
T00033,C1065,SKU_009,礦泉水
T00033,C1065,SKU_015,牛奶
T00033,C1065,SKU_021,餅乾
T00034,C0098,SKU_005,塑膠袋
T00034,C0098,SKU_018,香蕉
T00034,C0098,SKU_026,牙膏
T00035,C0725,SKU_001,尿布
T00035,C0725,SKU_010,寶特瓶飲料
T00036,C1161,SKU_006,米
T00036,C1161,SKU_008,醬油
T00036,C1161,SKU_022,巧克力
T00036,C1161,SKU_027,洗髮精
T00036,C1161,SKU_030,SKU_NEW_002
T00037,C1117,SKU_001,尿布
T00037,C1117,SKU_003,啤酒
T00037,C1117,SKU_008,醬油
T00037,C1117,SKU_015,牛奶
T00037,C1117,SKU_029,SKU_NEW_001
T00038,C1209,SKU_005,塑膠袋
T00038,C1209,SKU_012,麵包
T00038,C1209,SKU_019,橘子
T00039,C0679,SKU_001,尿布
T00039,C0679,SKU_003,啤酒
T00039,C0679,SKU_005,塑膠袋
T00039,C0679,SKU_009,礦泉水
T00039,C0679,SKU_011,杯麵
T00039,C0679,SKU_014,雪碧
T00039,C0679,SKU_017,蘋果
T00039,C0679,SKU_028,茶包
T00040,C1222,SKU_003,啤酒
T00040,C1222,SKU_006,米
T00041,C0361,SKU_001,尿布
T00041,C0361,SKU_003,啤酒
T00041,C0361,SKU_025,衛生紙
T00042,C0543,SKU_003,啤酒
T00042,C0543,SKU_005,塑膠袋
T00042,C0543,SKU_008,醬油
T00042,C0543,SKU_019,橘子
